name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48816_T182s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.28149717187666895,,0.1470505653261176,,6.800381880765135,0.038331952971687185,1,,0.07904556483317964,,5,,0.5,,4.6515265939372155,56.04008202473549
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48822_T254s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.1376501875075388,,0.10166600030845839,,9.836130043140905,0.030524501104417522,1,,0.03794097988664527,,5,,0.6191737341130286,,18.995273716339856,15.806193793024148
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48826_T302s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.1507388815451832,,0.124136779799195,,8.055630262180241,0.03651159539817886,1,,0.05289986945046155,,5,,0.5,,12.674572939393103,23.205825553848992
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48827_T314s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.15478148064769573,,0.12478306125819277,,8.013908217325001,0.03642731996868547,1,,0.06176632073518455,,5,,0.5,,11.654465120350915,25.048357905086
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48834_T399s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.18211236451534848,,0.1305377257025513,,7.660620672054926,0.03725368748751134,1,,0.04982749631692396,,5,,0.5,,9.070965785536272,31.46152134411611
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48838_T447s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.2847423263932778,,0.11292331130161971,,8.855567450807268,0.02886998178830745,1,,0.037297299986999564,,5,,0.7129117813847075,,5.174723052041819,49.405558796067695
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48839_T459s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.18653390120240604,,0.14351078643457785,,6.968117343959154,0.038670671540834964,1,,0.07533286721260014,,5,,0.5,,7.676581464331594,35.101795219583494
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48843_T506s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.2223202787623562,,0.12789937814114352,,7.818646302536739,0.03428882849149562,1,,0.04118539234567243,,5,,0.5261331613547606,,7.006615661341807,38.26272902673987
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48850_T592s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.12876914177917148,,0.09780195284979809,,10.224744709707139,0.029827401892907807,1,,0.03884930401181393,,5,,0.6544423835259147,,22.272574899237714,13.692964858275877
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48851_T604s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.17157980898424816,,0.13200816498580942,,7.57528899903652,0.03802910510517342,1,,0.06950049849605945,,5,,0.5,,9.529443547554594,30.230671394223865
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48857_T676s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.09272646702741733,,0.11282516563625902,,8.863270834664092,0.035204680738592065,1,,0.04039347642961325,,5,,0.5313477444398133,,49.70320584425004,6.277837220885855
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48859_T698s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.10302735704626212,,0.10736549719856103,,9.313979128235271,0.03246942806179969,1,,0.041986002385869754,,5,,0.5742362805707562,,35.15025527480834,8.603624320953909
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48863_T748s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.17347121442076552,,0.1324105146544683,,7.552270320899733,0.03806631384204793,1,,0.06423091904026522,,5,,0.5,,9.212741466934029,31.205380903195277
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48869_T821s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.12228430537018874,,0.1122904376016024,,8.905477807005447,0.03421535748890271,1,,0.03641482318859813,,5,,0.5239763433142426,,21.735171981270884,14.018942324479351
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48870_T833s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.1337092968472581,,0.11402123122772986,,8.770296454725537,0.034133994600203145,1,,0.04296462657020897,,5,,0.5582942706936586,,16.652129066326708,17.97759708891758
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48872_T855s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.31063471648687707,,0.14556438171954325,,6.869812437541797,0.03728739274406188,1,,0.0647626756065251,,5,,0.5,,4.239553501064831,60.42084554137217
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48877_T918s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.19906956117841135,,0.13523225005514933,,7.39468580602769,0.03793156254872215,1,,0.06308032239785762,,5,,0.5,,7.545815435440244,37.17186083152561
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48878_T926s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.12315824201660103,,0.1189303920504167,,8.408279689989438,0.03595419025993643,1,,0.04534453854729631,,5,,0.5011393871461566,,20.00157033951944,15.114458401300856
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48883_T986s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.14252652926429613,,0.12506634641058725,,7.995756082272081,0.03705859067567405,1,,0.05473752007440479,,5,,0.5,,13.514254053088582,21.92584702606358
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48890_T1070s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.15992854506558166,,0.10385035154605637,,9.629240393630369,0.030776509935677127,1,,0.040076575289801346,,5,,0.6264616026408311,,12.946750605828791,22.89025536189624
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48890_T1076s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.1360493147931207,,0.10353604415266601,,9.658472159951172,0.031229757380289283,1,,0.040765714789170744,,5,,0.6310817803419024,,17.39265812353353,17.342476070611447
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48891_T1082s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:20,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.18711036594096014,,0.12341331517387603,,8.102853396257187,0.03551956345009893,1,,0.0509193213324689,,5,,0.5078969975697234,,9.163047911024004,31.409835741601775
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488102_T1214s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.1848547463466006,,0.12915673338594777,,7.742530906319746,0.03688737758392144,1,,0.07485982224170921,,5,,0.5,,8.822602600005684,32.37159013430696
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488103_T1232s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.2577066742955739,,0.145183676624783,,6.887826670655474,0.03882532048336648,1,,0.07060003007061151,,5,,0.5,,5.213739102456504,51.29180540747447
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488104_T1238s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.07933008135958838,,0.10956330099175798,,9.127143769383382,0.03477184512224944,1,,0.052208409434107,,5,,0.5,,106.02649912032791,2.993286106384849
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488113_T1352s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.15391665954096564,,0.09551493014878203,,10.469567411527356,0.028687891111454714,1,,0.0365623596547244,,5,,0.6978419053857304,,14.707519188789567,20.421515080624392
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488125_T1496s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.14106269463531773,,0.12338816351388142,,8.104505096126971,0.03679716776817583,1,,0.04547470959079059,,5,,0.5015613058882232,,14.308115657261324,20.842915710495216
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488129_T1537s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.2445556064384555,,0.1347270247580278,,7.422415820404393,0.03685786866438466,1,,0.056624906230301524,,5,,0.5131661107322366,,5.971152057316418,45.81602320525086
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488131_T1561s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.09597370959620975,,0.09656235780616422,,10.35600230482528,0.03071750235892089,1,,0.0379138602895571,,5,,0.6354383827085943,,65.18633709734432,4.880018663993025
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488135_T1610s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.31886231353537076,,0.14197813603745071,,7.043337994916499,0.036932301549116656,1,,0.06599043180796832,,5,,0.5,,4.2418567530707705,61.32378129429665
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488150_T1789s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.15470165628141655,,0.12127897175773251,,8.245452492766884,0.03602832374450831,1,,0.04951180674026879,,5,,0.5,,12.405981958249622,23.945693945093335
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488153_T1834s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.2228808946483105,,0.13402692729591928,,7.461187241815153,0.03716185375593457,1,,0.058013799241750874,,5,,0.5,,6.6855056329745794,41.473536674032914
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488157_T1883s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.19789704035976624,,0.13283787709110126,,7.527973360445923,0.037495069928647165,1,,0.061231264020007475,,5,,0.5,,7.733910834840567,36.49665843785459
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488158_T1895s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.27972880366195785,,0.1401341218251827,,7.136020741953911,0.03713913472937238,1,,0.05931914425871858,,5,,0.5,,4.918360145782159,53.8849619588293
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488159_T1907s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.2369723056831882,,0.13194484362413864,,7.578924439431865,0.03628724930675033,1,,0.04435015940617711,,5,,0.5199287728550603,,6.337898596033521,43.39266879066938
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488162_T1932s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.1283421365440622,,0.11072770966596679,,9.031163048677774,0.03360600788487793,1,,0.041999420155328225,,5,,0.5556267592118396,,19.40235940773352,15.642497175116244
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488171_T2040s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.1495328905444027,,0.12515087724537763,,7.990355497383734,0.03661341264260819,1,,0.0644221587956552,,5,,0.5,,12.041681519946097,24.29512831684936
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488174_T2088s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.14577607532816708,,0.09960335089745638,,10.039822867300115,0.030050502386378502,1,,0.036222801797400096,,5,,0.6505887991654021,,16.827827313626017,17.928739729962974
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488179_T2148s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.14147170426743128,,0.10628400097104299,,9.40875381867163,0.03206829931519907,1,,0.041232883943039825,,5,,0.5983551428449475,,15.8025784688434,19.093260592267256
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488180_T2147s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.11942668990547245,,0.09621720864154285,,10.393151226466145,0.02949669444805824,1,,0.03825502504893714,,5,,0.6464939637544632,,26.9084770563557,11.392826929386052
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488181_T2159s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.16090013266828013,,0.12447330921807652,,8.03385084145233,0.03625797646153017,1,,0.047149668994897635,,5,,0.5,,11.221986878602182,25.957184982416393
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488183_T2197s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.22582565008533553,,0.13497000170049944,,7.40905377047424,0.03742062734463419,1,,0.05571386054585261,,5,,0.5,,6.613585954959806,41.921501590680194
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488184_T2209s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.1460409272259277,,0.13224742803462272,,7.561583728782971,0.03886513111309683,1,,0.07335418103636625,,5,,0.5,,11.809905362030097,24.884361802440164
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488189_T2255s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.1846579849043812,,0.12899711504972766,,7.7521113523702105,0.03653528987230458,1,,0.0719464282540109,,5,,0.5,,8.702848059051158,32.54401865104976
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488190_T2267s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.15971639593094442,,0.1282172880951947,,7.799260262450347,0.03724613432581622,1,,0.058950091699096305,,5,,0.5,,10.825163224375935,26.83491268348137
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488197_T2351s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.25812432380710815,,0.10956936349436042,,9.126638762042917,0.029716260942415924,1,,0.04149802845436207,,5,,0.657398392114686,,5.927743946006778,45.75258234464295
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488199_T2375s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:21,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.2468145873060075,,0.1308039926901536,,7.645026573223831,0.035459531578313545,1,,0.04852839824778755,,5,,0.5,,6.073077621503186,44.63784135287335
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488204_T2434s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.2491426829528381,,0.13320361054292762,,7.5073040131876105,0.0358831880697957,1,,0.05012206001037208,,5,,0.5090740044347685,,5.746779076634804,46.875999876947354
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488208_T2481s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.11104973543877521,,0.11276534238520536,,8.867972897062728,0.03433740610308923,1,,0.04196222381278396,,5,,0.5269642601347536,,27.87178572641328,10.925141478822663
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488210_T2505s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.09786483746245375,,0.10301658961347426,,9.707174385718579,0.03185570961567413,1,,0.04083714805629392,,5,,0.591032256312045,,55.85878314212882,5.535905499499761
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488221_T2637s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.1646247044230092,,0.10386108068539511,,9.628245666238474,0.030415396355304596,1,,0.03921184336764729,,5,,0.6155418282840731,,12.696436956149014,23.065283890863178
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488227_T2709s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.1567482045374854,,0.13312734266517157,,7.511604903848332,0.03825508603706427,1,,0.07583796599632595,,5,,0.5,,10.46071873989418,27.470111152866245
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488229_T2733s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.30360455367841527,,0.10910604283859215,,9.165395187866602,0.02857030269852152,1,,0.03910100860515403,,5,,0.6913148462087781,,4.748416732218379,55.146408316052025
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF488241_T2877s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:52:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.14414436350130486,,0.10898436953706014,,9.175627700079964,0.03237396291219688,1,,0.04012641335048702,,5,,0.5818213998275131,,15.120665025864144,19.6453955703597
