Time (ms),2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP1-5uW_T0s_1_correlation-CH2_2,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP1-5uW_T0s_1_correlation-CH2_2 fitted model: ,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP2-5uW_T25s_1_correlation-CH2_2,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP2-5uW_T25s_1_correlation-CH2_2 fitted model: ,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP3-5uW_T48s_1_correlation-CH2_2,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP3-5uW_T48s_1_correlation-CH2_2 fitted model: ,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP4-5uW_T69s_1_correlation-CH2_2,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP4-5uW_T69s_1_correlation-CH2_2 fitted model: ,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP5-5uW_T91s_1_correlation-CH2_2,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP5-5uW_T91s_1_correlation-CH2_2 fitted model: ,
0.000001,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000002,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000003,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000004,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000005,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000006,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000008,-1, ,-1, ,-1, ,-1, ,-1, ,
0.00001,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000012,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000014,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000016,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000018,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000022,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000026,-1, ,-1, ,-1, ,-1, ,-1, ,
0.00003,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000034,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000038,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000042,-1, ,-1, ,-1, ,-1, ,-1, ,
0.00005,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000058,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000066,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000074,-0.550039114267679, ,-0.5367010386284978, ,-0.5373213029264127, ,-0.5391665942942534, ,-0.555152088316293, ,
0.000082,-0.7208726819800737, ,-0.7257997988852263, ,-0.7344871184120245, ,-0.7275965662448731, ,-0.736264225206823, ,
0.00009,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000106,-0.18397224094726983, ,-0.18583255653457598, ,-0.18897627650646676, ,-0.18419746743886323, ,-0.20033375508050533, ,
0.000122,0.4592033953337127, ,0.4761880688320872, ,0.4598637982300129, ,0.4658401858654755, ,0.45619774374610444, ,
0.000138,0.10000669584095268, ,0.0805993407784904, ,0.09235768724086335, ,0.08482732113503655, ,0.0835489920738024, ,
0.000154,-0.24619333763416684, ,-0.24136544390323866, ,-0.2425921572236568, ,-0.2463856914724427, ,-0.2418210684294253, ,
0.00017,0.6003252419229155, ,0.6017406918155184, ,0.6111484858581975, ,0.6096790574280708, ,0.5939623094748372, ,
0.000186,-0.1539417927555754, ,-0.16175780348792124, ,-0.15666611178793766, ,-0.15132604189426302, ,-0.14322726960528886, ,
0.000218,0.1832278626132373, ,0.18674869626823387, ,0.18656343460058689, ,0.19338396593204266, ,0.18474013879660856, ,
0.00025,0.04956051222087998, ,0.04740908484271822, ,0.05310383546986808, ,0.04123925802054651, ,0.0467825320242623, ,
0.000282,0.011863097888926477, ,0.024174153471332005, ,0.013674189422301142, ,0.01565304543366075, ,0.02101968293633827, ,
0.000314,0.07365923952312836, ,0.06149351675945591, ,0.0673779690281171, ,0.07117196459597763, ,0.0615768699988104, ,
0.000346,0.14214848764824706, ,0.14244836450912546, ,0.149260850686467, ,0.14507987566938652, ,0.14792103120761801, ,
0.000378,0.013014033725387453, ,0.013833913285323574, ,0.010439662315202547, ,0.018011064564953383, ,0.016369036963036265, ,
0.000442,0.08714284551464879, ,0.09121954129849952, ,0.0890792244192451, ,0.08826757485513403, ,0.09951916820845397, ,
0.000506,0.03389901094037451, ,0.031470073973014046, ,0.03076975710918539, ,0.03269586890440479, ,0.031049305666075222, ,
0.00057,0.09610240755962973, ,0.09397519738617932, ,0.09787751002452727, ,0.09247329385412661, ,0.09492117320536742, ,
0.000634,0.03141123595141759, ,0.03284353108531035, ,0.03780135504571058, ,0.04002507663257293, ,0.0382973078743174, ,
0.000698,0.07554501631444088, ,0.07342593523854202, ,0.07618505770601347, ,0.07010735931246992, ,0.0683422712958619, ,
0.000762,0.054456422505943625, ,0.057513158467911385, ,0.049174960751196206, ,0.0574110394730345, ,0.05231069110697528, ,
0.00089,0.05936116601198482, ,0.05734257743333071, ,0.062464675266404646, ,0.06009020802957554, ,0.05698767327738263, ,
0.001018,0.06370372404656899,0.05639935298659489,0.0599101493753329,0.055581101383238955,0.05991133541435678,0.055745280928584,0.06126922198122431,0.055516000896179786,0.059510438854002645,0.056207646096881274,
0.001146,0.05875472745993049,0.05634663484007053,0.05763127802769108,0.05552955898900343,0.05791612810635316,0.05569339315841548,0.05822932595325203,0.05546489938692387,0.0577905822278284,0.05615528358278493,
0.001274,0.05687340466998392,0.056294012954073186,0.056826460270135826,0.0554781100833237,0.0575425815770072,0.055641599653422996,0.05799617086014397,0.05541388974698814,0.058119644500495005,0.05610301650330979,
0.001402,0.06265462656843601,0.05624148706534521,0.05759192515124689,0.05542675441221964,0.056435112668798526,0.055589900157108345,0.05635964526817361,0.05536297172899625,0.059523621421537776,0.05605084459793837,
0.00153,0.05851570826903618,0.05618905691158796,0.0568527180791949,0.05537549172263033,0.060531021569608656,0.05553829441390308,0.057010745556591136,0.05531214508645918,0.05898836458193735,0.0559987676071005,
0.001786,0.05453615635164932,0.056084482764560406,0.05734481183691287,0.05527324428032275,0.05624396155715061,0.05543536316917023,0.05723072312202104,0.05521076494620638,0.0572290280153418,0.05589489733545574,
0.002042,0.06066930448024421,0.055980288433617666,0.059291276073790034,0.055171365750138646,0.05764370132987495,0.05533280389311189,0.05576577618798817,0.05510974737191379,0.05744402448678221,0.055791403630598126,
0.002298,0.056457352941771344,0.055876471854455156,0.05507470874060716,0.0550698541402582,0.0565296470259502,0.05523061457422406,0.060259654990263645,0.05500909042321064,0.056481002209071374,0.05568828444963467,
0.002554,0.053440598979770826,0.05577303097770032,0.05481446647445121,0.054968707473174554,0.05607480444472479,0.05512879321547992,0.05534127262572186,0.054908792173547126,0.05525473548888282,0.05558553776442248,
0.00281,0.0565127132214176,0.05566996376877781,0.056728125403564755,0.054867923785565285,0.05641101596345233,0.0550273378341998,0.05432725189949372,0.05480885071007156,0.057340961037255944,0.055483161561435894,
0.003066,0.0571745121499494,0.055567268207776264,0.05657286027367303,0.05476750112816562,0.056863688236487464,0.05492624646192261,0.05678206415072018,0.054709264133508906,0.056796936096993766,0.055381153841635014,
0.003578,0.055391702584030256,0.0553629840224203,0.05634762391557668,0.05456773117647156,0.055617805025658607,0.054725147940863195,0.054977286169537676,0.054511148111184855,0.055361184155002796,0.05517823592708068,
0.00409,0.05503095694749671,0.055160162550644154,0.055238830059222144,0.05436938230038649,0.05581559559711313,0.05452548218418283,0.05596715144187048,0.054314429179369295,0.05617068782560586,0.05497676831324902,
0.004602,0.05670204756396369,0.054958788147788824,0.052812354464444544,0.05417243939922618,0.05406211919520487,0.054327233943257024,0.0525258407203697,0.0541190926205183,0.05564203227669373,0.05477673551622346,
0.005114,0.054815211370551564,0.0547588453915044,0.05414537230347238,0.05397688758549821,0.052581116928887894,0.054130388185076046,0.053890744717252304,0.05392512392308156,0.05593930616735787,0.05457812227171699,
0.005626,0.05500669137312886,0.05456031907781535,0.052629791906651846,0.05378271218115279,0.05400504148344165,0.05393493008844739,0.054983993152602606,0.053732508777910984,0.05386737994888269,0.05438091353119175,
0.006138,0.05224669657488423,0.054363194217268984,0.052093998052500146,0.053589898713912676,0.05258117083516245,0.05374084504027829,0.051547081423150454,0.05354123307474413,0.05441363919914477,0.05418509445806063,
0.007162,0.05319848217358625,0.05397308994786571,0.05333573470536401,0.053208300709016505,0.05235489532136195,0.05335673665568456,0.05164611911882022,0.0531626445272107,0.05295433162028451,0.053797567005153576,
0.008186,0.05219423777524179,0.05358841681682647,0.05165287373502214,0.05283198177335571,0.051757263726592395,0.052977950152130956,0.05096373435156765,0.0527892492470121,0.051695199391054825,0.05341542531994924,
0.00921,0.05116730664377034,0.05320906225682532,0.05165292759263318,0.052460833179508504,0.0515254947143311,0.05260437575487266,0.05205975937178908,0.05242094116973349,0.05182084281672239,0.05303855797058175,
0.010234,0.05303209091519956,0.05283491678992866,0.050375212588273266,0.052094749165422435,0.04999013393956986,0.05223590668759003,0.051563794151534115,0.0520576170996361,0.05214501649661707,0.05266685657810666,
0.011258,0.05146234053685195,0.052465873922332665,0.051289989279715176,0.05173362683400447,0.05018300723433611,0.051872439070707904,0.05091110443358038,0.05169917661332398,0.05120616488025753,0.05230021571266041,
0.012282,0.05210758011722283,0.05210183004337545,0.0503326731972773,0.051377366056763456,0.05064176275121146,0.05151387182382501,0.049147595705098635,0.05134552196726681,0.051116825254372555,0.051938532793829505,
0.01433,0.04938695155194606,0.05138833864683705,0.0482911933113257,0.05067904194257335,0.04978544392729911,0.050811047556135906,0.0491930707788768,0.0506521920918316,0.04956214465579767,0.05122964415172156,
0.016378,0.04924070255476187,0.050693667790759664,0.04852722598537462,0.04999902774290491,0.0485838625345536,0.05012667775796662,0.048653716065630404,0.04997689583441603,0.049548267287047976,0.05053942345816859,
0.018426,0.04917385677014008,0.05001708298170747,0.04848851368586504,0.04933661312427465,0.04786378052783635,0.0494600454693507,0.04821994406502195,0.04931893910176297,0.04842026187524473,0.04986714337369792,
0.020474,0.046513540338890325,0.049357887453797857,0.047231081544471865,0.048691124026426676,0.047517252034094515,0.04881047039334712,0.04793849720994103,0.048677662968359445,0.04737890759756125,0.04921211385823257,
0.022522,0.04669597069388143,0.048715419777052085,0.0461860639969911,0.04806192037615247,0.047649201809967456,0.04817730658208812,0.046451096242212664,0.04805244147698591,0.04607869583719837,0.04857367981037638,
0.02457,0.04649383474121871,0.04808905164540345,0.046895860999161876,0.047448393971866405,0.04502839017734184,0.04755994029589398,0.045558698353795446,0.047442679602295326,0.045840237464745304,0.04795121888375216,
0.028666,0.04513118998356025,0.046882254275462804,0.04467036625990861,0.04626608783963158,0.04488907091924643,0.0463702946292046,0.04373637061513169,0.046267298073551656,0.04487179324501067,0.04675187880027317,
0.032762,0.04318090491832782,0.045733057205800454,0.04342903258700104,0.04513990646857757,0.04394510004456609,0.04523719581668127,0.0426496854783418,0.04514730842174103,0.04403236600944527,0.045609696704573176,
0.036858,0.04248945210815891,0.04463743575700646,0.04248363050539816,0.044065949084351116,0.042345486637374696,0.04415670874043482,0.042065756068367266,0.04407888804728445,0.042738018389962606,0.04452068470720754,
0.040954,0.04088859569676728,0.04359173165684806,0.04133141724716327,0.043040668198066984,0.041185073247549164,0.043125255122247026,0.040766254526444445,0.04305855816162063,0.0408641200885862,0.04348121745378149,
0.04505,0.041063662296534575,0.04259261227105636,0.040168131687809305,0.042060830496425144,0.04057606371696809,0.04213957397212731,0.04003852269443908,0.04208314598361313,0.041150063794117564,0.04248799184337101,
0.049146,0.04008904018313175,0.0416370351591584,0.03921575720415782,0.041123482814801014,0.03942869641888347,0.04119668718335372,0.039115572023642464,0.04114975181663992,0.039604809368380955,0.04153799200105066,
0.057338,0.03826304985728579,0.039845607353690096,0.037821541719943896,0.03936567110610989,0.037733158068916195,0.03942862228453446,0.0375385763235927,0.039398615140666685,0.03807388895979269,0.03975686273510785,
0.06553,0.03670009918736028,0.03819783028022339,0.036552669261771475,0.03774817055062741,0.03666435214247299,0.03780184177893269,0.03630341827427075,0.03778640435246436,0.0364659132192906,0.03811837726183073,
0.073722,0.03530529167608831,0.036677107808766804,0.03507869325370727,0.036254842010671216,0.03521471186260339,0.03630007745296275,0.03435619183674454,0.036297233324315274,0.035061265776388906,0.036606075863882884,
0.081914,0.034260743733468324,0.03526930538508945,0.0335307670185625,0.03487193002150725,0.03383593593939804,0.03490946626881173,0.034134244853347706,0.034917548985132975,0.03416672381986263,0.03520593730233909,
0.090106,0.03316099980016318,0.03396230996653008,0.032371447921730745,0.03358763839160156,0.032469107151708254,0.033618121717048595,0.03321109050055937,0.03363571819500426,0.03260762317197097,0.033905943374879,
0.098298,0.03216044024847631,0.032745681104965826,0.03152446363755357,0.03239179335949134,0.032226994012307,0.03241579368575646,0.0317138264971073,0.03244169940206969,0.032134546776775075,0.03269573356522341,
0.114682,0.0296873236196471,0.030548503939876806,0.030141462108432382,0.030231294285657045,0.029708709805670086,0.030243787939458505,0.029688344949297285,0.03028336096345274,0.030095065443020985,0.030509908454541212,
0.131066,0.028410480392230708,0.028618357747647177,0.02839072848248403,0.028332457442403817,0.027903404764200612,0.028335057128741854,0.028062441077097988,0.028385210519705033,0.028124682870775297,0.02858947899540456,
0.14745,0.02676449061232411,0.026909419578137764,0.02655527839236438,0.026650527752170788,0.02673818914633075,0.026644535049593493,0.027140493309273817,0.026702939426344545,0.026951885447928925,0.026888944091767775,
0.163834,0.02549964338747701,0.025385782693330004,0.025500906467695872,0.025150405352944164,0.025125322028247687,0.025136885039971874,0.025345245377035086,0.02520175846449077,0.025483310790146207,0.02537264077919512,
0.180218,0.024453569776475392,0.02401891188403385,0.02420113978443572,0.02380417515056195,0.02409919027293994,0.023784008763917897,0.024298291321168453,0.023853971683917896,0.02463651708102077,0.02401222162911784,
0.196602,0.023425443340514773,0.02278584414689446,0.023144064569755596,0.022589357970252768,0.023405378318419823,0.022563283147885353,0.023284639803153206,0.022637256265497122,0.023559655098783105,0.022784870472863716,
0.22937,0.021575373186523583,0.020649692065380157,0.02135306238981083,0.020483990998922855,0.021201881366180064,0.02044787653631883,0.021655350918486693,0.020527487193791914,0.02159878541271132,0.020658388755506206,
0.262138,0.019900290567993473,0.018863647520388604,0.019845123758604366,0.018722873204978053,0.019524071054067615,0.01867855620139338,0.019950528997406236,0.018761599317524306,0.01991370253968805,0.01888020212236794,
0.294906,0.01867645151601738,0.017348370950640495,0.0183922666400691,0.017228161135989437,0.018371846963308514,0.017177022709297336,0.018455100005553948,0.017262057338088634,0.018423548114069765,0.01737142898420813,
0.327674,0.017435627792706576,0.016046806546984496,0.016918098021950323,0.015943831020821995,0.01715222046519882,0.015886934686390394,0.017215928385868162,0.015973000856056317,0.017417948077992795,0.016075330560015876,
0.360442,0.016263535474413615,0.014916872291605862,0.015988793593694206,0.014828534460518008,0.016378733241276366,0.01476671596737404,0.01648362422773708,0.014853165290606492,0.016377810436281504,0.01495005092367031,
0.39321,0.01541609607014549,0.01392685037448652,0.015219791225929313,0.013851088659709755,0.015143477228761082,0.013785016304359476,0.015529785493772152,0.01387140713188982,0.015658436233312978,0.013964037647536471,
0.458746,0.013786961863762048,0.01227444881281262,0.01358741868025315,0.012219154442907875,0.013710050706255972,0.012146105665077778,0.013907740499099486,0.012231570640857274,0.013882768199608542,0.012318180610235279,
0.524282,0.012698134091956748,0.010950912767431039,0.01247562036740879,0.010911534688927253,0.012461250395942702,0.010833010799443937,0.012743350902031825,0.010916977082319835,0.012537219876275651,0.010999753159691842,
0.589818,0.011637139529323104,0.009867441781695307,0.011577781983787894,0.009840771436566382,0.011477593580017986,0.00975784153936794,0.011886869410204781,0.009840070655586279,0.01170135385715887,0.009920374336205845,
0.655354,0.010874039347737785,0.008964544353228198,0.010612248841631367,0.008948238464724607,0.01015707756334705,0.008861690155854772,0.010763967938560492,0.008942113809050196,0.01070937297949226,0.009020824130784911,
0.72089,0.009877964265869066,0.008200868967107235,0.009847888570106544,0.008193166158871288,0.009416413975176452,0.00810359597470483,0.00994585772928902,0.008182233280726548,0.009859638669641457,0.008259934273341516,
