Time (ms),2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP1-5uW_T0s_1_correlation-CH2_2,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP1-5uW_T0s_1_correlation-CH2_2 fitted model: ,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP2-5uW_T25s_1_correlation-CH2_2,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP2-5uW_T25s_1_correlation-CH2_2 fitted model: ,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP3-5uW_T48s_1_correlation-CH2_2,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP3-5uW_T48s_1_correlation-CH2_2 fitted model: ,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP4-5uW_T69s_1_correlation-CH2_2,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP4-5uW_T69s_1_correlation-CH2_2 fitted model: ,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP5-5uW_T91s_1_correlation-CH2_2,2022-02-19_tttr2xfcs_CH2_BIN1dot0_eGFP5-5uW_T91s_1_correlation-CH2_2 fitted model: ,
0.786426,0.009077052323290369,0.007546780819709983,0.009020473034631937,0.007546324986026605,0.00898074592550313,0.007454195313328701,0.009409427464481812,0.007531109444209916,0.009329069450982441,0.007608197998242137,
0.917498,0.00836841396420418,0.006485605545733885,0.008126210666409728,0.006496661064160519,0.007922358531579743,0.006400437115457166,0.00819257216153324,0.006474164660622147,0.00831038268147899,0.0065507696946653735,
1.04857,0.007616993221470469,0.005662637596486248,0.007260424896766926,0.005682402267949417,0.007172785796956349,0.005583054716691639,0.007186413419179916,0.005653964049522412,0.007375938888054989,0.005730646723930836,
1.179642,0.007113158806218767,0.005006591450392347,0.006276329333834596,0.005033154812802299,0.006322397128063484,0.004931351279905863,0.006539732006910048,0.004999784998863282,0.0068577582996023345,0.005076828330837492,
1.310714,0.006427354669725549,0.00447198398222259,0.005796426802080257,0.004503987703135066,0.005913676620839192,0.004400206429516399,0.006076904557853702,0.004466463958571307,0.006577813275897126,0.0045440083821026295,
1.441786,0.005846660622853994,0.004028434953674408,0.005354750922841767,0.00406488035960201,0.0055960796051688355,0.0039594752504857845,0.005340681598435371,0.004023812664767127,0.006145866837254488,0.004101922310725813,
1.572858,0.0055204037127960515,0.003654883181862983,0.005071880120628647,0.0036950156623193624,0.005056436237502737,0.003588255673659921,0.004919013676085271,0.003650890617396883,0.005565742422131148,0.0037295876519387763,
1.835002,0.0048098064327894985,0.003061550229612712,0.004605067225343484,0.0031074305446349574,0.004209832895253562,0.002998544208600809,0.004409614018962227,0.003058302310062485,0.004888928918673985,0.0031381576208908313,
2.097146,0.0044296120442612885,0.00261257904074939,0.004279326278905149,0.002662711777559245,0.003758183518374425,0.0025522393820453454,0.003810910736799178,0.002609666358436279,0.004590692568022581,0.002690599317215857,
2.35929,0.0037849420511737453,0.002261992530203798,0.003614121013626903,0.002315381149461166,0.00371507788073,0.002203685560659967,0.00365343706687149,0.0022591892833305136,0.0039496611055829245,0.0023410980333451775,
2.621434,0.003601383979956685,0.00198135189639232,0.003292587900104671,0.0020373015360105103,0.00320612506460205,0.001924637508925679,0.0032140504539368564,0.0019785296140754243,0.0034855354826988094,0.002061313480517011,
2.883578,0.003143890800403115,0.0017521386992796562,0.0026913788958997653,0.0018101471818010822,0.0029266371398999347,0.0016966999618950578,0.0028816617690836654,0.001749223443232319,0.0031507998507194213,0.0018327903184524913,
3.145722,0.0030267795416372145,0.0015617872600989218,0.0029171519356854247,0.001621480957541325,0.0027270838771999983,0.00150738914422796,0.002568284365275453,0.0015587369247897784,0.0028155026430494168,0.001643005071717032,
3.67001,0.0027489627382935033,0.0012648447171685446,0.0025673194796225207,0.0013271178331243437,0.0022446125132298267,0.0012120321826714418,0.0021502147341720956,0.0012614670980471462,0.0024783473787888255,0.0013469319765418634,
4.194298,0.002515051591618356,0.0010449268457420947,0.0022246132376622096,0.0011090664896305023,0.0018381879164675041,0.0009932551677601063,0.0018276299295894027,0.0010412035751576896,0.0021721777025482947,0.0011276458088895515,
4.718586,0.002071398201376029,0.0008763431617471978,0.0018202672774425555,0.0009418848123888295,0.0017185603248410786,0.0008255240350211327,0.0018171435827298854,0.0008722869473494687,0.0017869089417046347,0.0009595383366901714,
5.242874,0.0017904276557050292,0.0007435587886660945,0.0016078307354017163,0.0008101849344658225,0.001660318767079838,0.0006933960677433287,0.0016166763223206537,0.0007391936499557287,0.0014435491205024853,0.0008271235338450087,
5.767162,0.0013557381195590246,0.0006366527132643253,0.001546452950363486,0.0007041379482001866,0.001623551937363743,0.0005870077504645601,0.0010820586735118543,0.0006320057064850529,0.0012786839587493048,0.0007205110879707176,
6.29145,0.001450932441551478,0.000549007235046365,0.0013231107999918112,0.0006171865328875562,0.0013012903168299061,0.0004997789280929141,0.0010013905618775354,0.0005441049507370834,0.0012842217456892069,0.0006331034819682356,
7.340026,0.0014021622889430763,0.00041451925305719783,0.0010469370990164872,0.0004837436344706907,0.0012605372836747009,0.0003659150829884617,0.0011399160634033567,0.00040917821294004196,0.0013378998428670297,0.0004989749534423243,
8.388602,0.0011486671053433373,0.0003168446590438588,0.0010937388168041906,0.0003868111125779628,0.0010974171923026077,0.00026868085580009413,0.000999098449023128,0.00031114494768056094,0.001189156306420358,0.00040155670132256514,
9.437178,0.0010395564516232358,0.00024319961929302684,0.0007691026849574456,0.0003137149355635132,0.00111625099644308,0.0001953597224904635,0.0007542775355660059,0.00023720431402135682,0.000708623453255619,0.0003281019743055448,
10.485754,0.0010907864634750464,0.00018601395822603542,0.0007282450437717802,0.0002569484634909471,0.0008739818533471944,0.0001384202322642367,0.0007725365336381795,0.0001797725626713914,0.0008248256417962008,0.0002710621416246484,
11.53433,0.0007644601306069365,0.00014054082456155118,0.0004476317714874334,0.00021180387938781836,0.0008564360149752037,0.00009313920136805,0.0006667689811501454,0.00013409243103745997,0.0010670841049644775,0.00022570363707755396,
12.582906,0.0010129763090711563,0.0001036648078146889,0.0004260724437392671,0.0001751909290171141,0.00036158491175930507,0.00005641639972372249,0.0005229259170320688,0.00009704058441555694,0.0009200057594247468,0.00018891964046598245,
14.680058,0.0006029882255307317,0.000047845722163128315,0.0004877062819075295,0.00011976377789782408,0.00043539355815469527,8.24454457408057e-7,0.0003809046560094842,0.0000409405136974558,0.0010611217590208444,0.00013323810122358918,
16.77721,0.0006198265598456043,0.000007938022005589466,0.000672802123906413,0.00008013119795436618,0.00024743671805205203,-0.00003892473604735655,-0.00008908796102247152,8.198700701451565e-7,0.0006917591270640955,0.0000934273227888932,
18.874362,0.00038155761580815906,-0.000021766679352299643,0.0007637998383671629,0.000050628224186115395,0.0004349261565050888,-0.00006851378218480588,0.00011024825336747313,-0.00002905056434260501,0.00029448496376516253,0.00006379391418238472,
20.971514,0.0001283895445578498,-0.000044585714971738614,0.0004735843418857133,0.000027962223477233722,0.00044968561889890957,-0.00009124544479480705,0.00027585145116293397,-0.00005200149027194528,0.00031364964323965516,0.00004102910822619278,
23.068666,0.00004909312329570703,-0.00006256626462334918,0.0003688334321216846,0.000010100984578808933,0.00037054514785461734,-0.00010915812006274549,0.0001690195401455874,-0.00007008898539983174,-0.000024190273790525296,0.00002309093496999682,
25.165818,-0.0000016338698244355854,-0.00007703359114707794,0.00014384801210853837,-0.000004271215478420087,0.00037919630884042377,-0.00012357149921455722,0.000012278887059347099,-0.00008464442796224152,-0.000040179748444835184,0.000008657462418353753,
29.360122,-0.00014846292349346424,-0.00009872522370857094,0.00021209134268440621,-0.00002582178955891648,0.00033996963183935414,-0.00014518344249010978,-0.000014301860995269422,-0.00010647189802016328,0.00006637077384374912,-0.000012983847472628919,
33.554426,0.00004950818705262705,-0.0001140686285820655,0.00025670302362423847,-0.00004106665101429521,0.000650455754247492,-0.00016047142003381763,-0.00012984130462012633,-0.00012191430996779226,0.00015284125155723416,-0.000028291999800311962,
37.74873,0.0002325789901289621,-0.00012539248999767177,0.00026571440567080273,-0.000052318500042264265,0.0005344513822176378,-0.00017175491998186145,-0.00010353273278118635,-0.00013331293775648768,0.00006817220257215872,-0.00003959004269580316,
41.943034,0.00007282213819426175,-0.00013403131646207782,0.00016618952730507175,-0.00006090282963134082,0.0006618325217226939,-0.00018036329100155953,0.00009671886556716913,-0.00014200984707179185,0.0000376576736729195,-0.000048209294952771644,
46.137338,0.00002281438839890626,-0.00014079927975420064,0.00021688698712885035,-0.0000676283825145492,0.0006297449546088796,-0.00018710761122358089,0.00012214390707376843,-0.00014882398906845468,0.00006657726868497527,-0.00005496200214342693,
50.331642,-0.00006260353334863744,-0.00014621842518417778,0.00021023019290500322,-0.00007301376062109435,0.0003875503160004623,-0.0001925079710726836,-0.000342566109635567,-0.0001542805629634233,0.000004390138607757166,-0.00006036898498273386,
58.72025,-0.00030995975616476823,-0.0001542966932635992,0.000045100407980447343,-0.00008104202860416746,0.000162328802513656,-0.00020055849222140636,0.00010116285496675204,-0.00016241542373033528,-0.0002920364777200257,-0.00006842921591262136,
67.108858,-0.0002181226774834455,-0.00015997439657704942,0.00013296283750863225,-0.00008668484904729716,-0.000033201500499902004,-0.00020621689144398244,0.000004486073917231437,-0.00016813351710978625,-0.0002400235767622272,-0.0000740943140250755,
75.497466,-0.00016059476733276679,-0.00016414386403617632,-0.000008636658856975288,-0.00009082884730213277,-0.0002046943652894706,-0.0002103722950882859,-0.00017038721911744048,-0.00017233299494163668,-0.0006654981658072989,-0.00007825456567975721,
83.886074,-0.0003210005040108488,-0.00016731200229026306,-0.00003364693448737466,-0.0000939777222511204,-0.000026863722214720553,-0.00021352981511561913,-0.00040947441211958147,-0.00017552414823892977,-0.0005539253024733348,-0.00008141572617636769,
92.274682,0.00008653139600034443,-0.000169785907130145,0.00020070886175194147,-0.00009643664186086056,0.00026464656796632013,-0.00021599547188165525,-0.0004318272411225621,-0.00017801615992445277,-0.0005472775301975652,-0.00008388419810284808,
100.66329,0.00011231363377928183,-0.00017176135805638108,-0.0001808343350357955,-0.00009840016465766544,0.000010390272559446245,-0.00021796436541394695,-0.0004830219901781341,-0.00018000615918704687,-0.0006006318933300392,-0.00008585532126655281,
117.440506,-0.00046324920564166927,-0.00017469666273214833,-0.0007099042642461084,-0.00010131781129766123,-0.0004380331363331713,-0.00022088997672399267,-0.0008047939349569155,-0.0001829632374585501,-0.0009723599248003811,-0.00008878421365444479,
134.217722,-0.0006456838757086247,-0.0001767524582377383,-0.0005707709384513704,-0.00010336128979402314,-0.0004410034009703079,-0.00022293902150938093,-0.0005658582374299392,-0.00018503440151163282,-0.0009809618022691424,-0.00009083553211764862,
150.994938,-0.0006119257728441907,-0.00017825805828047407,-0.0007130674234373524,-0.00010485789744443057,-0.0008546995918541356,-0.00022443969903114725,-0.0005261956135177437,-0.00018655132394459242,-0.0010803830453623986,-0.00009233786114739776,
167.772154,-0.00046895260509338677,-0.00017939961241109897,-0.0007917956247533997,-0.0001059926504380946,-0.0009763136017034713,-0.00022557753379505934,-0.00036579298662564597,-0.0001877015030032449,-0.001097780143022975,-0.00009347693988428256,
184.54937,-0.0005007200100428655,-0.00018028945404752452,-0.0007219512727352217,-0.0001068772013143092,-0.0009556041131328907,-0.00022646448436128215,-0.00044045694789718315,-0.0001885980932436045,-0.0007756694022498234,-0.00009436485493024974,
201.326586,-0.0007160400564660829,-0.00018099897113796798,-0.0005670275916758172,-0.00010758250689200526,-0.001104208603314949,-0.00022717170165208477,-0.0005521208624020835,-0.00018931300817332344,-0.0010292924603962916,-0.00009507283781778809,
234.881018,-0.0013083112031725408,-0.00018205143985705193,-0.0016984191599490606,-0.00010862874069328483,-0.001940066010471475,-0.0002282207682936547,-0.0011707482858953622,-0.00019037351295985385,-0.0017392648660210508,-0.00009612303417016967,
268.43545,-0.001367983135578954,-0.0001827871941846661,-0.0015682705380400952,-0.00010936014562871065,-0.0021537032927602118,-0.00022895415138941215,-0.0011376022238142047,-0.00019111490714025182,-0.001453263526441817,-0.00009685720252127049,
301.989882,-0.001554053825324031,-0.00018332527437550539,-0.0011200730549132398,-0.00010989505016433595,-0.001960163983101726,-0.00022949050138125837,-0.0010028739787959484,-0.00019165712426089847,-0.001417625871135364,-0.00009739412427959615,
335.544314,-0.001932304832819809,-0.00018373279248574097,-0.0013396787636944518,-0.00011030016627959095,-0.0017458135389182283,-0.00022989671148260116,-0.0009840185785685573,-0.0001920677828740191,-0.0014541305580509922,-0.00009780076590683243,
369.098746,-0.002010972242963427,-0.00018405016414050078,-0.0012645053307265286,-0.0001106156692402117,-0.0016687540903117526,-0.0002302130659644673,-0.0011387921901500064,-0.00019238760497876812,-0.0012179305791941708,-0.00009811745550815153,
402.653178,-0.001977163778501545,-0.0001843030307045309,-0.0016177095513089101,-0.00011086704820848834,-0.0018244848779268574,-0.00023046512307733436,-0.0012386290265031796,-0.00019264242700885414,-0.0015173450546749345,-0.0000983697790029629,
469.762042,-0.004018836169770945,-0.00018467779367569839,-0.0032470881429988996,-0.00011123960870320324,-0.0034669677731011816,-0.00023083868809225828,-0.0034122968128963427,-0.00019302009338380152,-0.002927177064210751,-0.00009874373773240139,
536.870906,-0.00401023386547561,-0.00018493953262355614,-0.0033142613904884044,-0.00011149981109484111,-0.003682356281713095,-0.00023109959165343026,-0.003333275055079743,-0.000193283864092982,-0.0025141574588279925,-0.00009900491545466732,
603.97977,-0.00415768803833394,-0.00018513081185270652,-0.002897970466011368,-0.000111689968343116,-0.003519990491071323,-0.00023129026109473035,-0.0032626028639388682,-0.0001934766303613964,-0.0027820055449787606,-0.00009919578479943403,
671.088634,-0.004004399708163131,-0.00018527559544587156,-0.0029498596288701773,-0.00011183390324260446,-0.003625058314634,-0.00023143458355179744,-0.0031306554179822976,-0.00019362254085634437,-0.002609662742111607,-0.00009934025829707014,
738.197498,-0.004009158071544672,-0.00018538829949502314,-0.0029176431391984003,-0.00011194594699431037,-0.003555453504912931,-0.00023154692890664454,-0.0032236201895533556,-0.00019373612295712846,-0.002570432320485927,-0.00009945272105599876,
805.306362,-0.003953673132389146,-0.0001854780623552212,-0.002804555917822138,-0.00011203518419380292,-0.0039060839000784053,-0.000231636406262148,-0.0032846346454016295,-0.0001938265856893468,-0.002710148651732025,-0.00009954229180550008,
939.52409,-0.007496496473971659, ,-0.006585663224127791, ,-0.007385957349083316, ,-0.0067710980606927595, ,-0.006230432617253201, ,
1073.741818,-0.0074686128032668275, ,-0.006513715263687936, ,-0.007215383494982852, ,-0.006530441079774518, ,-0.006485127537125934, ,
1207.959546,-0.007534409495047578, ,-0.006094767898509934, ,-0.007105188188207379, ,-0.0066701756766088804, ,-0.006964384676636737, ,
1342.177274,-0.0071981596934479475, ,-0.006403099363995857, ,-0.006914310637906151, ,-0.00685641577853735, ,-0.007156578363598731, ,
1476.395002,-0.006977791791218824, ,-0.006344033814772221, ,-0.006905635281759692, ,-0.006776078980966216, ,-0.007501487451619937, ,
1610.61273,-0.0070501035980365945, ,-0.00613222007901959, ,-0.007151415543859785, ,-0.006915265988419961, ,-0.007481021992964743, ,
1879.048186,-0.006859496504913243, ,-0.006603024454873374, ,-0.007206835684655966, ,-0.007000559268107387, ,-0.00806917951310615, ,
2147.483642,-0.006993367312710275, ,-0.007269342226914999, ,-0.007360509079636257, ,-0.007524891239501064, ,-0.008078612334213364, ,
2415.919098,-0.007668660897145019, ,-0.007081164098670212, ,-0.0066891742113598385, ,-0.008048824948656774, ,-0.008326282580210731, ,
2684.354554,-0.00792635639071515, ,-0.007091944928392158, ,-0.0071942594349769795, ,-0.007899541939607846, ,-0.008363804072102798, ,
2952.79001,-0.007726285978411296, ,-0.007737440084439995, ,-0.006864557869922239, ,-0.007525989939460853, ,-0.00962563206382494, ,
3221.225466,-0.007657191632177929, ,-0.007527300060585107, ,-0.0066004741931983135, ,-0.007142309182666895, ,-0.009608830838931826, ,
3758.096378,-0.008228658665180633, ,-0.008286366934052602, ,-0.006722624620940976, ,-0.008101135723973307, ,-0.009829792408026172, ,
4294.96729,-0.008778353354002899, ,-0.008752348042755487, ,-0.008416755263289444, ,-0.0072243154624804795, ,-0.009282909514372828, ,
4831.838202,-0.009315995921542086, ,-0.009653745708590344, ,-0.007410424322081277, ,-0.008138516740139656, ,-0.010518213106485708, ,
5368.709114,-0.008951061608937327, ,-0.01091701199351336, ,-0.0072597015203271775, ,-0.0078092316542843765, ,-0.010809731603297568, ,
5905.580026,-0.009614725125784984, ,-0.012456266177664377, ,-0.006596222981766542, ,-0.008757004418831649, ,-0.011848246720322586, ,
6442.450938,-0.009821223427780468, ,-0.01172478502892127, ,-0.006494054704572205, ,-0.00944028052192969, ,-0.012725519985350653, ,
